Carlie,-33
Stevana,113
Jacquetta,495
Ida,396
Gerrie,406
Brianna,-417
Corina,-495
Jacenta,418
Jolyn,39
Gisela,417
Kimberley,434
Beverley,360
Ottilie,486
Fanchon,215
Gilligan,-36
Aurore,218
Sara-Ann,355
Susette,-415
Elka,134
Dianemarie,302
Winny,228
Katleen,-133
Jordan,-179
Ilse,362
Gianina,408
Charlena,295
Fidelia,94
Paola,-477
Tabbatha,398
Sharlene,-486
Meg,317
Adriana,-151
Margarette,-248
Annice,-500
Demetris,-344
Collen,87
Clementine,122
Anthia,462
Damaris,-85
Winifred,-154
Nerta,453
Kirbee,135
Andree,292
Tera,71
Concettina,346
Winifred,-73
Adele,-309
Magdalena,210
Ardenia,60
Maridel,-307
Zia,-262
Deloria,-20
Hildegaard,-319
Jobi,-240
Emma,284
Gabi,-480
Kara-Lynn,225
Livvyy,-231
Wilma,-464
Ida,-130
Monika,-411
Ulrike,350
Ermengarde,445
Nonnah,-114
Melina,-430
Claudina,27
Jaime,336
Blake,-274
Cristabel,41
Mahalia,31
Lenna,-118
Ebonee,-400
Joane,-117
Adriana,179
Etta,-52
Ardenia,304
Mignon,445
Evaleen,75
Abbie,238
Gaylene,-77
Frieda,232
Inga,-90
Consuela,-6
Susette,320
Kore,277
Tina,-114
Janis,385
Marline,493
Pierette,478
Ruthe,144
Peri,-76
Madelle,-398
Sabina,391
Melina,-24
Alie,-153
Di,234
Anthia,382
Rosabelle,60
Mara,88
Tarra,-232
Grier,498
Caritta,196
Tybie,-344
Roberta,-429
Jenilee,489
Jsandye,258
Micheline,-342
Vinita,-217
Benita,412
Deirdre,-460
Marsiella,150
Jasmina,-477
Patricia,-207
Edith,306
Lauryn,159
Libbie,48
Farrah,433
Joleen,164
Kerrin,299
Fernande,287
Anica,-371
Jenda,-476
Karena,-345
Blinni,-465
Aimil,477
Tina,-367
Antonietta,279
Lila,-331
Gavrielle,-444
Reeba,454
Adele,-493
Alyssa,70
Pearline,154
Mireielle,-427
Yetty,-278
Katleen,142
Susette,-68
Carmela,95
Marinna,360
Charmaine,-44
Sharlene,-427
Sibella,399
Kimberley,125
Siana,358
Carmencita,97
Stevana,-41
Maridel,204
Rayna,-4
Kamilah,-355
Jasmina,115
Tressa,273
Christy,-59
Hope,126
Genevra,172
Ada,-443
Ashlee,16
Therine,372
Chickie,-360
Hildegaard,95
Steffane,471
Andree,-57
Odessa,-157
Heddie,348
Yolane,-387
Fernande,-269
Edyth,156
Teriann,-163
Bernie,1
Orsola,178
Modestia,19
Adele,72
Ileana,-296
Harrietta,454
Concettina,30
Gerrie,-486
Sara-Ann,-105
Lisette,-168
Nerta,39
Andeee,118
Margalo,193
Jemie,65
Almeta,304
Cyb,-247
Elise,490
Norine,330
Cam,182
Isa,351
Lory,172
Mallory,126
Sharlene,43
Vanessa,170
Quintina,92
